review_id,rating,review_text,review_date,reviewer_name,branch_name,category,sentiment_manual
29,4,Small portions. Price doesn’t match quality.,10/29/2024,Nikhil,"French Toast, Panampilly",,
30,3,Service was slow and the food was cold when served.,1/17/2025,Deepa,"ChaiCofi, Kochi",,
31,4,Not worth the hype. Staff seemed uninterested.,10/12/2024,Merin,"Bloomsbury's, Kakkanad",,
32,1,Amazing place to chill. Strong coffee and good music.,7/17/2024,Rahul,"French Toast, Panampilly",,
33,4,Small portions. Price doesn’t match quality.,1/4/2025,Saniya,"Kashi Art Café, Fort Kochi",,
34,1,Loved the desserts here! Coffee was perfect.,8/2/2024,Manu,"French Toast, Panampilly",,
35,2,Not worth the hype. Staff seemed uninterested.,6/14/2024,Deepa,"French Toast, Panampilly",,
36,2,Perfect spot for brunch. Peaceful and aesthetic.,4/17/2024,Merin,"ChaiCofi, Kochi",,
37,2,Not worth the hype. Staff seemed uninterested.,3/4/2025,Harish,"Bloomsbury's, Kakkanad",,
38,1,Crowded but food quality is really good.,7/17/2024,Alina,"Kashi Art Café, Fort Kochi",,
39,2,Crowded but food quality is really good.,6/13/2024,Saniya,"ChaiCofi, Kochi",,
40,1,Small portions. Price doesn’t match quality.,3/25/2025,Gokul,"Kashi Art Café, Fort Kochi",,
41,5,Not worth the hype. Staff seemed uninterested.,1/12/2025,Priya,"Kashi Art Café, Fort Kochi",,
42,1,Amazing place to chill. Strong coffee and good music.,4/12/2024,Ritu,"ChaiCofi, Kochi",,
43,4,One of the best cafés in Kochi. Highly recommended!,1/23/2024,Naveen,"Kashi Art Café, Fort Kochi",,
44,5,Perfect spot for brunch. Peaceful and aesthetic.,7/2/2024,Priya,"Bloomsbury's, Kakkanad",,
45,1,Crowded but food quality is really good.,7/17/2024,Gokul,"Bloomsbury's, Kakkanad",,
46,3,Very average experience. Overpriced for the portion size.,1/1/2024,Priya,"Bloomsbury's, Kakkanad",,
47,3,Loved the desserts here! Coffee was perfect.,10/5/2024,Deepa,"French Toast, Panampilly",,
48,5,Great food and lovely ambience. Service was quick.,8/20/2024,Gayathri,"Bloomsbury's, Kakkanad",,
49,5,One of the best cafés in Kochi. Highly recommended!,3/17/2024,Alina,"Bloomsbury's, Kakkanad",,
50,2,Small portions. Price doesn’t match quality.,1/20/2025,Rahul,"Kashi Art Café, Fort Kochi",,
51,1,One of the best cafés in Kochi. Highly recommended!,9/7/2024,Joel,"Kashi Art Café, Fort Kochi",,
52,2,Perfect spot for brunch. Peaceful and aesthetic.,1/20/2024,Sneha,"French Toast, Panampilly",,
53,4,Not worth the hype. Staff seemed uninterested.,10/5/2024,Alina,"Bloomsbury's, Kakkanad",,
54,4,Loved the desserts here! Coffee was perfect.,1/20/2025,Vishnu,"Kashi Art Café, Fort Kochi",,
55,2,Loved the desserts here! Coffee was perfect.,7/25/2024,Sandeep,"ChaiCofi, Kochi",,
56,1,Small portions. Price doesn’t match quality.,1/29/2024,Lekshmi,"Kashi Art Café, Fort Kochi",,
57,3,One of the best cafés in Kochi. Highly recommended!,2/11/2025,Deepa,"Kashi Art Café, Fort Kochi",,
58,4,Crowded but food quality is really good.,9/4/2024,Arjun,"ChaiCofi, Kochi",,
59,5,Perfect spot for brunch. Peaceful and aesthetic.,1/11/2024,Gokul,"ChaiCofi, Kochi",,
60,5,Loved the desserts here! Coffee was perfect.,1/28/2024,Anjana,"Bloomsbury's, Kakkanad",,
61,4,Amazing place to chill. Strong coffee and good music.,5/29/2024,Mariya,"French Toast, Panampilly",,
62,1,Service was slow and the food was cold when served.,4/3/2024,Anjana,"ChaiCofi, Kochi",,
63,4,Crowded but food quality is really good.,6/8/2024,Manu,"Bloomsbury's, Kakkanad",,
64,2,Perfect spot for brunch. Peaceful and aesthetic.,8/4/2024,Rohit,"Bloomsbury's, Kakkanad",,
65,2,Perfect spot for brunch. Peaceful and aesthetic.,6/5/2024,Joseph,"French Toast, Panampilly",,
66,5,Small portions. Price doesn’t match quality.,3/7/2024,Priya,"French Toast, Panampilly",,
67,4,Not worth the hype. Staff seemed uninterested.,1/12/2024,Harish,"Bloomsbury's, Kakkanad",,
68,4,Very average experience. Overpriced for the portion size.,10/17/2024,Gokul,"Bloomsbury's, Kakkanad",,
69,4,Very average experience. Overpriced for the portion size.,3/23/2024,Sneha,"ChaiCofi, Kochi",,
70,4,Very average experience. Overpriced for the portion size.,5/1/2024,Joseph,"Kashi Art Café, Fort Kochi",,
71,4,Crowded but food quality is really good.,10/18/2024,Adarsh,"Kashi Art Café, Fort Kochi",,
72,2,Amazing place to chill. Strong coffee and good music.,10/27/2024,Manu,"Bloomsbury's, Kakkanad",,
73,2,Small portions. Price doesn’t match quality.,7/28/2024,Joseph,"Bloomsbury's, Kakkanad",,
74,4,Loved the desserts here! Coffee was perfect.,3/27/2024,Naveen,"French Toast, Panampilly",,
75,5,Not worth the hype. Staff seemed uninterested.,7/27/2024,Kiran,"French Toast, Panampilly",,
76,5,Perfect spot for brunch. Peaceful and aesthetic.,7/2/2024,Joseph,"Kashi Art Café, Fort Kochi",,
77,4,Small portions. Price doesn’t match quality.,8/14/2024,Ritu,"Bloomsbury's, Kakkanad",,
78,4,Perfect spot for brunch. Peaceful and aesthetic.,6/1/2024,Mariya,"Kashi Art Café, Fort Kochi",,
79,3,Amazing place to chill. Strong coffee and good music.,12/27/2024,Sandeep,"Bloomsbury's, Kakkanad",,
80,5,Great food and lovely ambience. Service was quick.,8/22/2024,Ritu,"Bloomsbury's, Kakkanad",,
81,5,Perfect spot for brunch. Peaceful and aesthetic.,11/11/2024,Anu,"French Toast, Panampilly",,
82,1,Amazing place to chill. Strong coffee and good music.,3/26/2024,Merin,"Kashi Art Café, Fort Kochi",,
83,5,Loved the desserts here! Coffee was perfect.,2/27/2024,Ritu,"Bloomsbury's, Kakkanad",,
84,5,One of the best cafés in Kochi. Highly recommended!,8/22/2024,Fathima,"Bloomsbury's, Kakkanad",,
85,2,Not worth the hype. Staff seemed uninterested.,5/31/2024,Priya,"Kashi Art Café, Fort Kochi",,
86,2,Small portions. Price doesn’t match quality.,4/2/2024,Sandeep,"Bloomsbury's, Kakkanad",,
87,3,Very average experience. Overpriced for the portion size.,7/5/2024,Joel,"Bloomsbury's, Kakkanad",,
88,1,Very average experience. Overpriced for the portion size.,11/25/2024,Gokul,"Kashi Art Café, Fort Kochi",,
89,5,Amazing place to chill. Strong coffee and good music.,3/20/2024,Naveen,"Bloomsbury's, Kakkanad",,
90,4,One of the best cafés in Kochi. Highly recommended!,9/11/2024,Deepa,"ChaiCofi, Kochi",,
91,3,Great food and lovely ambience. Service was quick.,8/9/2024,Harish,"Bloomsbury's, Kakkanad",,
92,2,Crowded but food quality is really good.,7/13/2024,Joel,"Bloomsbury's, Kakkanad",,
93,3,Perfect spot for brunch. Peaceful and aesthetic.,2/12/2024,Anjana,"French Toast, Panampilly",,
94,2,Crowded but food quality is really good.,3/13/2025,Naveen,"Kashi Art Café, Fort Kochi",,
95,1,Perfect spot for brunch. Peaceful and aesthetic.,1/13/2024,Merin,"ChaiCofi, Kochi",,
96,2,Great food and lovely ambience. Service was quick.,9/25/2024,Tina,"French Toast, Panampilly",,
97,1,Amazing place to chill. Strong coffee and good music.,2/13/2025,Tina,"ChaiCofi, Kochi",,
98,1,Very average experience. Overpriced for the portion size.,12/2/2024,Kiran,"Bloomsbury's, Kakkanad",,
99,3,One of the best cafés in Kochi. Highly recommended!,3/17/2025,Deepa,"French Toast, Panampilly",,
100,4,Perfect spot for brunch. Peaceful and aesthetic.,8/29/2024,Gayathri,"ChaiCofi, Kochi",,
101,2,Not worth the hype. Staff seemed uninterested.,12/10/2024,Rahul,"ChaiCofi, Kochi",,
102,4,Loved the desserts here! Coffee was perfect.,9/13/2024,Anjana,"Kashi Art Café, Fort Kochi",,
103,2,Crowded but food quality is really good.,10/31/2024,Akshay,"French Toast, Panampilly",,
104,3,Great food and lovely ambience. Service was quick.,4/18/2024,Arjun,"French Toast, Panampilly",,
105,4,Small portions. Price doesn’t match quality.,12/23/2024,Harish,"Bloomsbury's, Kakkanad",,
106,5,Service was slow and the food was cold when served.,6/6/2024,Deepa,"Bloomsbury's, Kakkanad",,
107,3,Amazing place to chill. Strong coffee and good music.,7/22/2024,Nikhil,"Bloomsbury's, Kakkanad",,
108,5,Amazing place to chill. Strong coffee and good music.,2/15/2025,Mariya,"French Toast, Panampilly",,
109,3,Service was slow and the food was cold when served.,3/16/2025,Anu,"ChaiCofi, Kochi",,
110,3,Loved the desserts here! Coffee was perfect.,6/18/2024,Akshay,"French Toast, Panampilly",,
111,3,Great food and lovely ambience. Service was quick.,7/6/2024,Manu,"Bloomsbury's, Kakkanad",,
112,3,Small portions. Price doesn’t match quality.,6/27/2024,Nikhil,"Kashi Art Café, Fort Kochi",,
113,1,Not worth the hype. Staff seemed uninterested.,9/23/2024,Sandeep,"Kashi Art Café, Fort Kochi",,
114,3,Very average experience. Overpriced for the portion size.,10/28/2024,Vishnu,"ChaiCofi, Kochi",,
115,1,Not worth the hype. Staff seemed uninterested.,5/20/2024,Manu,"Kashi Art Café, Fort Kochi",,
116,5,Service was slow and the food was cold when served.,3/13/2024,Anu,"ChaiCofi, Kochi",,
117,5,Service was slow and the food was cold when served.,4/14/2024,Mariya,"French Toast, Panampilly",,
118,1,Crowded but food quality is really good.,6/28/2024,Kiran,"French Toast, Panampilly",,
119,2,Great food and lovely ambience. Service was quick.,5/3/2024,Priya,"Kashi Art Café, Fort Kochi",,
120,1,Very average experience. Overpriced for the portion size.,9/27/2024,Tina,"French Toast, Panampilly",,
121,2,Service was slow and the food was cold when served.,3/25/2024,Adarsh,"ChaiCofi, Kochi",,
122,3,Service was slow and the food was cold when served.,7/21/2024,Gokul,"French Toast, Panampilly",,
123,2,Crowded but food quality is really good.,2/1/2025,Saniya,"Kashi Art Café, Fort Kochi",,
124,3,Very average experience. Overpriced for the portion size.,10/14/2024,Alina,"Kashi Art Café, Fort Kochi",,
125,4,Great food and lovely ambience. Service was quick.,6/27/2024,Alina,"Kashi Art Café, Fort Kochi",,
126,3,Loved the desserts here! Coffee was perfect.,7/6/2024,Ritu,"French Toast, Panampilly",,
127,5,One of the best cafés in Kochi. Highly recommended!,4/9/2024,Tina,"ChaiCofi, Kochi",,
128,1,Not worth the hype. Staff seemed uninterested.,8/17/2024,Naveen,"French Toast, Panampilly",,
129,1,Crowded but food quality is really good.,2/13/2024,Anu,"ChaiCofi, Kochi",,
130,4,Small portions. Price doesn’t match quality.,8/17/2024,Akshay,"French Toast, Panampilly",,
131,4,Small portions. Price doesn’t match quality.,8/23/2024,Lekshmi,"ChaiCofi, Kochi",,
132,3,Not worth the hype. Staff seemed uninterested.,1/9/2025,Alina,"ChaiCofi, Kochi",,
133,4,Amazing place to chill. Strong coffee and good music.,1/11/2025,Alina,"ChaiCofi, Kochi",,
134,4,One of the best cafés in Kochi. Highly recommended!,10/23/2024,Fathima,"Kashi Art Café, Fort Kochi",,
135,5,Amazing place to chill. Strong coffee and good music.,4/25/2024,Merin,"ChaiCofi, Kochi",,
136,4,Loved the desserts here! Coffee was perfect.,6/18/2024,Joel,"ChaiCofi, Kochi",,
137,3,Service was slow and the food was cold when served.,2/16/2024,Harish,"Bloomsbury's, Kakkanad",,
138,3,Great food and lovely ambience. Service was quick.,4/1/2024,Saniya,"French Toast, Panampilly",,
139,5,Crowded but food quality is really good.,2/3/2024,Sandeep,"ChaiCofi, Kochi",,
140,5,Service was slow and the food was cold when served.,4/29/2024,Ramesh,"French Toast, Panampilly",,
141,2,Service was slow and the food was cold when served.,9/17/2024,Fathima,"ChaiCofi, Kochi",,
142,1,Perfect spot for brunch. Peaceful and aesthetic.,10/11/2024,Gayathri,"Bloomsbury's, Kakkanad",,
143,2,Not worth the hype. Staff seemed uninterested.,3/17/2025,Joel,"ChaiCofi, Kochi",,
144,2,Service was slow and the food was cold when served.,2/27/2025,Rahul,"Bloomsbury's, Kakkanad",,
145,5,Not worth the hype. Staff seemed uninterested.,7/23/2024,Akshay,"Kashi Art Café, Fort Kochi",,
146,2,Perfect spot for brunch. Peaceful and aesthetic.,12/3/2024,Joseph,"Kashi Art Café, Fort Kochi",,
147,5,Service was slow and the food was cold when served.,1/30/2025,Kiran,"ChaiCofi, Kochi",,
148,4,Crowded but food quality is really good.,7/15/2024,Naveen,"Kashi Art Café, Fort Kochi",,
149,1,Not worth the hype. Staff seemed uninterested.,4/8/2024,Sneha,"Bloomsbury's, Kakkanad",,
150,3,Perfect spot for brunch. Peaceful and aesthetic.,11/29/2024,Manu,"Bloomsbury's, Kakkanad",,
151,5,Small portions. Price doesn’t match quality.,9/2/2024,Ritu,"French Toast, Panampilly",,
152,1,Service was slow and the food was cold when served.,7/20/2024,Fathima,"Kashi Art Café, Fort Kochi",,
153,4,One of the best cafés in Kochi. Highly recommended!,8/12/2024,Ritu,"ChaiCofi, Kochi",,
154,4,One of the best cafés in Kochi. Highly recommended!,9/5/2024,Anu,"Bloomsbury's, Kakkanad",,
155,3,Small portions. Price doesn’t match quality.,12/30/2024,Gokul,"Kashi Art Café, Fort Kochi",,
156,1,Crowded but food quality is really good.,7/22/2024,Mariya,"French Toast, Panampilly",,
157,2,Perfect spot for brunch. Peaceful and aesthetic.,1/18/2025,Gokul,"ChaiCofi, Kochi",,
158,1,Great food and lovely ambience. Service was quick.,9/7/2024,Sneha,"Bloomsbury's, Kakkanad",,
159,3,Great food and lovely ambience. Service was quick.,12/7/2024,Anjana,"ChaiCofi, Kochi",,
160,1,Not worth the hype. Staff seemed uninterested.,3/21/2025,Joel,"French Toast, Panampilly",,
161,1,Perfect spot for brunch. Peaceful and aesthetic.,6/11/2024,Deepa,"Kashi Art Café, Fort Kochi",,
162,3,Perfect spot for brunch. Peaceful and aesthetic.,7/17/2024,Rahul,"French Toast, Panampilly",,
163,2,Small portions. Price doesn’t match quality.,5/12/2024,Priya,"French Toast, Panampilly",,
164,1,Not worth the hype. Staff seemed uninterested.,5/17/2024,Tina,"Kashi Art Café, Fort Kochi",,
165,4,One of the best cafés in Kochi. Highly recommended!,2/7/2024,Rohit,"ChaiCofi, Kochi",,
166,3,Service was slow and the food was cold when served.,7/28/2024,Gokul,"French Toast, Panampilly",,
167,1,Very average experience. Overpriced for the portion size.,2/25/2024,Deepa,"Bloomsbury's, Kakkanad",,
168,4,Loved the desserts here! Coffee was perfect.,4/22/2024,Kiran,"Bloomsbury's, Kakkanad",,
169,2,Small portions. Price doesn’t match quality.,7/10/2024,Ramesh,"French Toast, Panampilly",,
170,2,Amazing place to chill. Strong coffee and good music.,9/16/2024,Sandeep,"French Toast, Panampilly",,
171,2,Amazing place to chill. Strong coffee and good music.,8/30/2024,Ritu,"ChaiCofi, Kochi",,
172,2,One of the best cafés in Kochi. Highly recommended!,2/3/2024,Nikhil,"Bloomsbury's, Kakkanad",,
173,4,Not worth the hype. Staff seemed uninterested.,3/14/2024,Vishnu,"ChaiCofi, Kochi",,
174,3,Amazing place to chill. Strong coffee and good music.,3/22/2024,Alina,"ChaiCofi, Kochi",,
175,3,Great food and lovely ambience. Service was quick.,10/26/2024,Priya,"French Toast, Panampilly",,
176,2,Service was slow and the food was cold when served.,7/6/2024,Akshay,"Kashi Art Café, Fort Kochi",,
177,4,Amazing place to chill. Strong coffee and good music.,4/7/2024,Akshay,"Bloomsbury's, Kakkanad",,
178,2,One of the best cafés in Kochi. Highly recommended!,7/24/2024,Tina,"Bloomsbury's, Kakkanad",,
179,5,Very average experience. Overpriced for the portion size.,10/25/2024,Gayathri,"Bloomsbury's, Kakkanad",,
180,5,Amazing place to chill. Strong coffee and good music.,7/26/2024,Harish,"ChaiCofi, Kochi",,
181,3,Crowded but food quality is really good.,3/5/2024,Joseph,"Kashi Art Café, Fort Kochi",,
182,4,Very average experience. Overpriced for the portion size.,3/9/2024,Anjana,"Kashi Art Café, Fort Kochi",,
183,3,Very average experience. Overpriced for the portion size.,6/24/2024,Harish,"Bloomsbury's, Kakkanad",,
184,1,One of the best cafés in Kochi. Highly recommended!,3/25/2025,Nikhil,"Kashi Art Café, Fort Kochi",,
185,2,Not worth the hype. Staff seemed uninterested.,11/6/2024,Vishnu,"ChaiCofi, Kochi",,
186,3,Perfect spot for brunch. Peaceful and aesthetic.,3/24/2025,Akshay,"Kashi Art Café, Fort Kochi",,
187,4,Very average experience. Overpriced for the portion size.,7/19/2024,Sandeep,"Kashi Art Café, Fort Kochi",,
188,5,Not worth the hype. Staff seemed uninterested.,7/22/2024,Lekshmi,"Kashi Art Café, Fort Kochi",,
189,4,Small portions. Price doesn’t match quality.,10/27/2024,Anjana,"French Toast, Panampilly",,
190,2,One of the best cafés in Kochi. Highly recommended!,5/23/2024,Alina,"French Toast, Panampilly",,
191,4,One of the best cafés in Kochi. Highly recommended!,3/7/2024,Saniya,"French Toast, Panampilly",,
192,4,One of the best cafés in Kochi. Highly recommended!,11/2/2024,Priya,"French Toast, Panampilly",,
193,2,Crowded but food quality is really good.,12/15/2024,Manu,"ChaiCofi, Kochi",,
194,1,Service was slow and the food was cold when served.,4/28/2024,Deepa,"French Toast, Panampilly",,
195,5,Perfect spot for brunch. Peaceful and aesthetic.,2/4/2025,Joseph,"ChaiCofi, Kochi",,
196,5,One of the best cafés in Kochi. Highly recommended!,9/30/2024,Sneha,"Bloomsbury's, Kakkanad",,
197,2,One of the best cafés in Kochi. Highly recommended!,4/20/2024,Merin,"ChaiCofi, Kochi",,
198,5,Amazing place to chill. Strong coffee and good music.,12/9/2024,Merin,"ChaiCofi, Kochi",,
199,1,Amazing place to chill. Strong coffee and good music.,12/10/2024,Manu,"French Toast, Panampilly",,
200,1,Crowded but food quality is really good.,11/4/2024,Mariya,"ChaiCofi, Kochi",,
201,4,Perfect spot for brunch. Peaceful and aesthetic.,2/28/2025,Arjun,"ChaiCofi, Kochi",,
202,3,Not worth the hype. Staff seemed uninterested.,10/3/2024,Merin,"Bloomsbury's, Kakkanad",,
203,1,Great food and lovely ambience. Service was quick.,8/7/2024,Lekshmi,"French Toast, Panampilly",,
204,3,Not worth the hype. Staff seemed uninterested.,5/13/2024,Manu,"ChaiCofi, Kochi",,
205,1,Service was slow and the food was cold when served.,12/20/2024,Lekshmi,"Kashi Art Café, Fort Kochi",,
206,4,Small portions. Price doesn’t match quality.,3/2/2024,Fathima,"Kashi Art Café, Fort Kochi",,
207,3,One of the best cafés in Kochi. Highly recommended!,4/23/2024,Ramesh,"French Toast, Panampilly",,
208,2,One of the best cafés in Kochi. Highly recommended!,8/21/2024,Arjun,"Bloomsbury's, Kakkanad",,
209,1,Perfect spot for brunch. Peaceful and aesthetic.,3/10/2024,Tina,"Bloomsbury's, Kakkanad",,
210,4,Great food and lovely ambience. Service was quick.,2/26/2025,Anu,"Bloomsbury's, Kakkanad",,
211,2,Loved the desserts here! Coffee was perfect.,3/17/2025,Joseph,"French Toast, Panampilly",,
212,5,Great food and lovely ambience. Service was quick.,5/25/2024,Fathima,"French Toast, Panampilly",,
213,2,Crowded but food quality is really good.,11/5/2024,Sandeep,"Kashi Art Café, Fort Kochi",,
214,4,Perfect spot for brunch. Peaceful and aesthetic.,5/13/2024,Manu,"ChaiCofi, Kochi",,
215,1,One of the best cafés in Kochi. Highly recommended!,2/4/2024,Joseph,"Kashi Art Café, Fort Kochi",,
216,3,Amazing place to chill. Strong coffee and good music.,1/19/2024,Arjun,"Bloomsbury's, Kakkanad",,
217,2,Not worth the hype. Staff seemed uninterested.,1/6/2024,Rohit,"ChaiCofi, Kochi",,
218,1,Small portions. Price doesn’t match quality.,2/4/2024,Tina,"French Toast, Panampilly",,
219,4,Small portions. Price doesn’t match quality.,3/16/2024,Gayathri,"ChaiCofi, Kochi",,
220,3,Amazing place to chill. Strong coffee and good music.,10/13/2024,Deepa,"Bloomsbury's, Kakkanad",,
221,3,Service was slow and the food was cold when served.,5/6/2024,Rohit,"French Toast, Panampilly",,
222,2,One of the best cafés in Kochi. Highly recommended!,7/7/2024,Joel,"French Toast, Panampilly",,
223,5,Very average experience. Overpriced for the portion size.,3/27/2024,Priya,"French Toast, Panampilly",,
224,4,Loved the desserts here! Coffee was perfect.,11/6/2024,Vishnu,"Kashi Art Café, Fort Kochi",,
225,5,Perfect spot for brunch. Peaceful and aesthetic.,1/1/2025,Gayathri,"ChaiCofi, Kochi",,
226,5,Small portions. Price doesn’t match quality.,8/14/2024,Akshay,"ChaiCofi, Kochi",,
227,5,Amazing place to chill. Strong coffee and good music.,2/7/2024,Kiran,"Bloomsbury's, Kakkanad",,
228,4,Small portions. Price doesn’t match quality.,1/1/2024,Sneha,"Kashi Art Café, Fort Kochi",,
229,1,Amazing place to chill. Strong coffee and good music.,12/9/2024,Gokul,"Bloomsbury's, Kakkanad",,
230,5,Crowded but food quality is really good.,5/8/2024,Lekshmi,"ChaiCofi, Kochi",,
231,4,Amazing place to chill. Strong coffee and good music.,10/11/2024,Naveen,"ChaiCofi, Kochi",,
232,2,One of the best cafés in Kochi. Highly recommended!,7/6/2024,Anu,"ChaiCofi, Kochi",,
233,4,Amazing place to chill. Strong coffee and good music.,3/2/2025,Anjana,"ChaiCofi, Kochi",,
234,5,Perfect spot for brunch. Peaceful and aesthetic.,11/8/2024,Joel,"Bloomsbury's, Kakkanad",,
235,4,Amazing place to chill. Strong coffee and good music.,1/15/2025,Tina,"Kashi Art Café, Fort Kochi",,
236,3,One of the best cafés in Kochi. Highly recommended!,3/7/2024,Joseph,"French Toast, Panampilly",,
237,3,Service was slow and the food was cold when served.,3/9/2024,Sandeep,"Kashi Art Café, Fort Kochi",,
238,2,Great food and lovely ambience. Service was quick.,11/27/2024,Harish,"ChaiCofi, Kochi",,
239,1,Small portions. Price doesn’t match quality.,12/4/2024,Lekshmi,"ChaiCofi, Kochi",,
240,5,Perfect spot for brunch. Peaceful and aesthetic.,2/1/2025,Rohit,"ChaiCofi, Kochi",,
241,2,Very average experience. Overpriced for the portion size.,11/12/2024,Tina,"Bloomsbury's, Kakkanad",,
242,2,Perfect spot for brunch. Peaceful and aesthetic.,2/26/2024,Anjana,"ChaiCofi, Kochi",,
243,4,Perfect spot for brunch. Peaceful and aesthetic.,2/29/2024,Mariya,"French Toast, Panampilly",,
244,4,Very average experience. Overpriced for the portion size.,2/9/2025,Fathima,"Bloomsbury's, Kakkanad",,
245,1,Amazing place to chill. Strong coffee and good music.,8/15/2024,Kiran,"Bloomsbury's, Kakkanad",,
246,4,Small portions. Price doesn’t match quality.,3/9/2024,Saniya,"ChaiCofi, Kochi",,
247,1,Perfect spot for brunch. Peaceful and aesthetic.,5/1/2024,Merin,"Kashi Art Café, Fort Kochi",,
248,3,Perfect spot for brunch. Peaceful and aesthetic.,2/15/2024,Naveen,"Bloomsbury's, Kakkanad",,
249,3,One of the best cafés in Kochi. Highly recommended!,11/27/2024,Merin,"ChaiCofi, Kochi",,
250,5,Great food and lovely ambience. Service was quick.,9/12/2024,Adarsh,"ChaiCofi, Kochi",,
251,5,Very average experience. Overpriced for the portion size.,1/15/2024,Joel,"Bloomsbury's, Kakkanad",,
252,4,Loved the desserts here! Coffee was perfect.,6/24/2024,Nikhil,"French Toast, Panampilly",,
253,2,Not worth the hype. Staff seemed uninterested.,4/13/2024,Alina,"ChaiCofi, Kochi",,
254,5,Not worth the hype. Staff seemed uninterested.,3/1/2024,Anjana,"French Toast, Panampilly",,
255,3,Amazing place to chill. Strong coffee and good music.,1/21/2025,Akshay,"Bloomsbury's, Kakkanad",,
256,2,Amazing place to chill. Strong coffee and good music.,1/26/2024,Gayathri,"Bloomsbury's, Kakkanad",,
257,1,One of the best cafés in Kochi. Highly recommended!,5/12/2024,Anjana,"Bloomsbury's, Kakkanad",,
258,2,Not worth the hype. Staff seemed uninterested.,2/6/2025,Anjana,"Kashi Art Café, Fort Kochi",,
259,5,Small portions. Price doesn’t match quality.,7/9/2024,Akshay,"Kashi Art Café, Fort Kochi",,
260,3,Service was slow and the food was cold when served.,10/17/2024,Fathima,"ChaiCofi, Kochi",,
261,3,Small portions. Price doesn’t match quality.,6/10/2024,Rahul,"French Toast, Panampilly",,
262,4,Very average experience. Overpriced for the portion size.,8/19/2024,Naveen,"Kashi Art Café, Fort Kochi",,
263,5,Small portions. Price doesn’t match quality.,7/14/2024,Nikhil,"Bloomsbury's, Kakkanad",,
264,4,Great food and lovely ambience. Service was quick.,5/8/2024,Anu,"Kashi Art Café, Fort Kochi",,
265,4,Amazing place to chill. Strong coffee and good music.,12/13/2024,Lekshmi,"French Toast, Panampilly",,
266,2,Not worth the hype. Staff seemed uninterested.,4/13/2024,Mariya,"Bloomsbury's, Kakkanad",,
267,2,Loved the desserts here! Coffee was perfect.,5/4/2024,Anjana,"French Toast, Panampilly",,
